DISTRICT_NAME,MONTH,USER_ENGAGEMENT,FAMILY_ENGAGEMENT,SCHOOL_COUNT,PRACTICE
Springfield Public Schools,1,0,0,64,75
Springfield Public Schools,2,0,0,64,75
Springfield Public Schools,3,0,0,64,75
Springfield Public Schools,3,0,0,64,75
Springfield Public Schools,4,0,0,64,75
Springfield Public Schools,5,0,0,64,75
Springfield Public Schools,6,0,0,64,75
Springfield Public Schools,7,0,0,64,75
Springfield Public Schools,8,0,0,64,75
Springfield Public Schools,9,0,0,64,75
Springfield Public Schools,10,0,0,64,75
Springfield Public Schools,11,0,0,64,75
Springfield Public Schools,12,0,0,64,75
Goleta District,1,36,0,9,7220
Goleta District,2,51,0,9,7220
Goleta District,3,45,4,9,7220
Goleta District,3,45,23,9,7220
Goleta District,4,37,3,9,7220
Goleta District,4,37,23,9,7220
Goleta District,5,37,18,9,7220
Goleta District,6,37,23,9,7220
Goleta District,7,37,23,9,7220
Goleta District,8,38,23,9,7220
Goleta District,8,38,35,9,7220
Goleta District,9,37,19,9,7220
Goleta District,9,37,32,9,7220
Goleta District,10,37,29,9,7220
Goleta District,11,38,31,9,7220
Goleta District,11,38,31,9,7220
Goleta District,12,38,34,9,7220
Needham School District,1,0,0,8,53
Needham School District,2,0,0,8,53
Needham School District,3,0,0,8,53
Needham School District,4,0,0,8,53
Needham School District,5,0,0,8,53
Needham School District,6,0,0,8,53
Needham School District,7,0,0,8,53
Needham School District,8,0,0,8,53
Needham School District,9,0,0,8,53
Needham School District,10,5,0,8,53
Needham School District,11,8,0,8,53
Needham School District,12,7,0,8,53
Los Angeles Unified School District,1,6,0,241,14750
Los Angeles Unified School District,2,6,0,241,14750
Los Angeles Unified School District,3,6,29,241,14750
Los Angeles Unified School District,3,6,86,241,14750
Los Angeles Unified School District,4,7,14,241,14750
Los Angeles Unified School District,4,7,64,241,14750
Los Angeles Unified School District,5,7,30,241,14750
Los Angeles Unified School District,5,7,70,241,14750
Los Angeles Unified School District,6,7,32,241,14750
Los Angeles Unified School District,6,7,50,241,14750
Los Angeles Unified School District,7,8,49,241,14750
Los Angeles Unified School District,7,8,69,241,14750
Los Angeles Unified School District,8,9,34,241,14750
Los Angeles Unified School District,9,9,48,241,14750
Los Angeles Unified School District,9,9,50,241,14750
Los Angeles Unified School District,10,9,46,241,14750
Los Angeles Unified School District,11,10,47,241,14750
Los Angeles Unified School District,11,10,47,241,14750
Los Angeles Unified School District,12,10,46,241,14750
Early learning Sarasota,1,0,0,22,657
Early learning Sarasota,2,0,0,22,657
Early learning Sarasota,3,0,0,22,657
Early learning Sarasota,4,0,0,22,657
Early learning Sarasota,5,0,0,22,657
Early learning Sarasota,6,0,0,22,657
Early learning Sarasota,7,0,0,22,657
Early learning Sarasota,8,0,0,22,657
Early learning Sarasota,9,1200,0,22,657
Early learning Sarasota,10,96,0,22,657
Early learning Sarasota,11,62,0,22,657
Early learning Sarasota,12,60,0,22,657
Austin Independent School District,1,0,0,1,
Austin Independent School District,2,0,0,1,
Austin Independent School District,3,0,0,1,
Austin Independent School District,4,0,0,1,
Austin Independent School District,5,0,0,1,
Austin Independent School District,6,0,0,1,
Austin Independent School District,7,0,0,1,
Austin Independent School District,8,0,0,1,
Austin Independent School District,9,0,0,1,
Austin Independent School District,10,0,0,1,
Austin Independent School District,11,0,0,1,
Austin Independent School District,12,0,0,1,
Englewood Public School District,1,26,0,5,8682
Englewood Public School District,2,29,0,5,8682
Englewood Public School District,3,29,16,5,8682
Englewood Public School District,3,29,109,5,8682
Englewood Public School District,4,28,5,5,8682
Englewood Public School District,5,29,36,5,8682
Englewood Public School District,5,29,37,5,8682
Englewood Public School District,7,29,37,5,8682
Englewood Public School District,8,30,37,5,8682
Englewood Public School District,9,30,37,5,8682
Englewood Public School District,9,30,37,5,8682
Englewood Public School District,10,30,36,5,8682
