,DISTRICT_NAME,MONTH,USER_ENGAGEMENT,FAMILY_ENGAGEMENT,SCHOOL_COUNT,PRACTICE
0,Mt. Lebanon School District,1,5.0,0.0,8,451.0
1,Mt. Lebanon School District,2,8.0,0.0,8,451.0
2,Mt. Lebanon School District,3,9.0,50.0,8,451.0
3,Mt. Lebanon School District,4,10.0,16.0,8,451.0
4,Mt. Lebanon School District,5,10.0,25.0,8,451.0
5,Mt. Lebanon School District,6,10.0,0.0,8,451.0
6,Mt. Lebanon School District,7,10.0,0.0,8,451.0
7,Mt. Lebanon School District,8,10.0,30.0,8,451.0
8,Mt. Lebanon School District,9,11.0,30.0,8,451.0
9,Mt. Lebanon School District,10,11.0,30.0,8,451.0
10,Mt. Lebanon School District,11,11.0,30.0,8,451.0
11,Mt. Lebanon School District,12,11.0,30.0,8,451.0
12,Westfield Public School District,1,21.0,0.0,11,6999.0
13,Westfield Public School District,2,21.0,0.0,11,6999.0
14,Westfield Public School District,3,23.0,45.0,11,6999.0
15,Westfield Public School District,4,23.0,46.0,11,6999.0
16,Westfield Public School District,5,23.0,42.0,11,6999.0
17,Westfield Public School District,6,23.0,41.0,11,6999.0
18,Westfield Public School District,7,23.0,40.0,11,6999.0
19,Westfield Public School District,8,24.0,40.0,11,6999.0
20,Westfield Public School District,9,29.0,40.0,11,6999.0
21,Westfield Public School District,10,29.0,40.0,11,6999.0
22,Westfield Public School District,11,30.0,42.0,11,6999.0
23,Westfield Public School District,12,31.0,42.0,11,6999.0
24,Los Angeles Unified School District,1,5.0,0.0,241,15184.0
25,Los Angeles Unified School District,2,6.0,0.0,241,15184.0
26,Los Angeles Unified School District,3,6.0,14.0,241,15184.0
27,Los Angeles Unified School District,4,6.0,29.0,241,15184.0
28,Los Angeles Unified School District,5,7.0,33.0,241,15184.0
29,Los Angeles Unified School District,6,7.0,40.0,241,15184.0
30,Los Angeles Unified School District,7,7.0,40.0,241,15184.0
31,Los Angeles Unified School District,8,8.0,42.0,241,15184.0
32,Los Angeles Unified School District,9,9.0,42.0,241,15184.0
33,Los Angeles Unified School District,10,9.0,42.0,241,15184.0
34,Los Angeles Unified School District,11,9.0,42.0,241,15184.0
35,Los Angeles Unified School District,12,10.0,41.0,241,15184.0
36,Needham School District,1,0.0,0.0,8,66.0
37,Needham School District,3,0.0,0.0,8,66.0
38,Needham School District,4,0.0,0.0,8,66.0
