,DISTRICT_NAME,MONTH,USER_ENGAGEMENT,FAMILY_ENGAGEMENT,USER_COUNT,PRACTICE
0,TOLEDO BLADE ELEMENTARY SCHOOL,1,0.0,0.0,178,2010.0
1,TOLEDO BLADE ELEMENTARY SCHOOL,2,0.0,0.0,178,2010.0
2,TOLEDO BLADE ELEMENTARY SCHOOL,4,126.0,70.0,178,2010.0
3,TOLEDO BLADE ELEMENTARY SCHOOL,5,128.0,69.0,178,2010.0
4,TOLEDO BLADE ELEMENTARY SCHOOL,6,128.0,69.0,178,2010.0
5,TOLEDO BLADE ELEMENTARY SCHOOL,7,0.0,69.0,178,2010.0
6,TOLEDO BLADE ELEMENTARY SCHOOL,8,128.0,69.0,178,2010.0
7,TOLEDO BLADE ELEMENTARY SCHOOL,9,128.0,69.0,178,2010.0
8,TOLEDO BLADE ELEMENTARY SCHOOL,10,128.0,69.0,178,2010.0
9,TOLEDO BLADE ELEMENTARY SCHOOL,11,128.0,69.0,178,2010.0
10,TOLEDO BLADE ELEMENTARY SCHOOL,12,128.0,69.0,178,2010.0
11,GOCIO ELEMENTARY SCHOOL,1,0.0,0.0,99,1280.0
12,GOCIO ELEMENTARY SCHOOL,2,0.0,0.0,99,1280.0
13,GOCIO ELEMENTARY SCHOOL,3,38.0,33.0,99,1280.0
14,GOCIO ELEMENTARY SCHOOL,4,70.0,54.0,99,1280.0
15,GOCIO ELEMENTARY SCHOOL,5,71.0,54.0,99,1280.0
16,GOCIO ELEMENTARY SCHOOL,6,71.0,54.0,99,1280.0
17,GOCIO ELEMENTARY SCHOOL,7,71.0,56.0,99,1280.0
18,GOCIO ELEMENTARY SCHOOL,8,64.0,56.0,99,1280.0
19,GOCIO ELEMENTARY SCHOOL,9,64.0,60.0,99,1280.0
20,GOCIO ELEMENTARY SCHOOL,10,66.0,60.0,99,1280.0
21,GOCIO ELEMENTARY SCHOOL,11,66.0,60.0,99,1280.0
22,GOCIO ELEMENTARY SCHOOL,12,66.0,60.0,99,1280.0
23,VENICE HIGH SCHOOL,1,0.0,0.0,16,72.0
24,VENICE HIGH SCHOOL,2,0.0,0.0,16,72.0
25,VENICE HIGH SCHOOL,3,50.0,0.0,16,72.0
26,VENICE HIGH SCHOOL,4,33.0,30.0,16,72.0
27,VENICE HIGH SCHOOL,5,33.0,30.0,16,72.0
28,VENICE HIGH SCHOOL,6,33.0,30.0,16,72.0
29,VENICE HIGH SCHOOL,7,33.0,30.0,16,72.0
30,VENICE HIGH SCHOOL,8,25.0,0.0,16,72.0
31,VENICE HIGH SCHOOL,9,25.0,27.0,16,72.0
32,VENICE HIGH SCHOOL,10,20.0,27.0,16,72.0
33,VENICE HIGH SCHOOL,11,40.0,27.0,16,72.0
34,VENICE HIGH SCHOOL,12,40.0,27.0,16,72.0
35,ASHTON ELEMENTARY SCHOOL,1,0.0,0.0,95,707.0
36,ASHTON ELEMENTARY SCHOOL,2,0.0,0.0,95,707.0
37,ASHTON ELEMENTARY SCHOOL,3,55.0,33.0,95,707.0
38,ASHTON ELEMENTARY SCHOOL,4,65.0,55.0,95,707.0
39,ASHTON ELEMENTARY SCHOOL,5,65.0,54.0,95,707.0
40,ASHTON ELEMENTARY SCHOOL,6,65.0,54.0,95,707.0
41,ASHTON ELEMENTARY SCHOOL,7,65.0,54.0,95,707.0
42,ASHTON ELEMENTARY SCHOOL,8,65.0,56.0,95,707.0
43,ASHTON ELEMENTARY SCHOOL,9,70.0,56.0,95,707.0
44,ASHTON ELEMENTARY SCHOOL,10,68.0,56.0,95,707.0
45,ASHTON ELEMENTARY SCHOOL,11,68.0,56.0,95,707.0
46,ASHTON ELEMENTARY SCHOOL,12,68.0,56.0,95,707.0
47,BROOKSIDE MIDDLE SCHOOL,1,0.0,0.0,13,99.0
48,BROOKSIDE MIDDLE SCHOOL,2,0.0,0.0,13,99.0
49,BROOKSIDE MIDDLE SCHOOL,3,0.0,0.0,13,99.0
50,BROOKSIDE MIDDLE SCHOOL,4,20.0,33.0,13,99.0
51,BROOKSIDE MIDDLE SCHOOL,5,33.0,33.0,13,99.0
52,BROOKSIDE MIDDLE SCHOOL,6,33.0,33.0,13,99.0
53,BROOKSIDE MIDDLE SCHOOL,7,33.0,33.0,13,99.0
54,BROOKSIDE MIDDLE SCHOOL,8,29.0,0.0,13,99.0
55,BROOKSIDE MIDDLE SCHOOL,9,33.0,33.0,13,99.0
56,BROOKSIDE MIDDLE SCHOOL,10,30.0,33.0,13,99.0
